"Patru studenți vor fi selectați pentru a face parte din echipa de șah a unei universități, și anume dintro listă de șapte studenți N, P, Q, R, S, V și X.
Selecția trebuie să respecte următoarele condiții
N și R nu sunt ambii aleși.
V și X nu sunt ambii aleși.
Dacă N este ales, atunci și X este ales.
Dacă P este ales, atunci și S este ales.
Dacă V este ales, atunci și R este ales.
","6.	Care dintre următoarele poate fi o listă corectă și completă a studenților aleși?
","(A) N,P,Q,X
(B) N,P,S,X
(C) N,Q,R,X
(D) P,Q,S,V
(E) R,S,V,X
",B
"Patru studenți vor fi selectați pentru a face parte din echipa de șah a unei universități, și anume dintro listă de șapte studenți N, P, Q, R, S, V și X.
Selecția trebuie să respecte următoarele condiții
N și R nu sunt ambii aleși.
V și X nu sunt ambii aleși.
Dacă N este ales, atunci și X este ales.
Dacă P este ales, atunci și S este ales.
Dacă V este ales, atunci și R este ales.
","7.	Dacă N este ales, care dintre următoarele afirmații trebuie să fie adevărată?
","(A)	P este ales.
(B)	R este ales.
(C)	P nu este ales.
(D)	S nu este ales.
(E)	V nu este ales.
",E
"Patru studenți vor fi selectați pentru a face parte din echipa de șah a unei universități, și anume dintro listă de șapte studenți N, P, Q, R, S, V și X.
Selecția trebuie să respecte următoarele condiții
N și R nu sunt ambii aleși.
V și X nu sunt ambii aleși.
Dacă N este ales, atunci și X este ales.
Dacă P este ales, atunci și S este ales.
Dacă V este ales, atunci și R este ales.
","8. Care dintre următoarele afirmații trebuie să fie adevărată?
","(A) Cel puțin unul dintre P și Q este ales. (B) Cel puțin unul dintre V și Q este ales.
(C)	N este ales.
(D)	R este ales.
(E)	X este ales.
",A
"Patru studenți vor fi selectați pentru a face parte din echipa de șah a unei universități, și anume dintro listă de șapte studenți N, P, Q, R, S, V și X.
Selecția trebuie să respecte următoarele condiții
N și R nu sunt ambii aleși.
V și X nu sunt ambii aleși.
Dacă N este ales, atunci și X este ales.
Dacă P este ales, atunci și S este ales.
Dacă V este ales, atunci și R este ales.
","9. Dacă S nu este ales, care dintre următoarele afirmații poate fi adevărată?
","(A)	N este ales.
(B)	P este ales.
(C)	Q este ales.
(D)	V nu este ales. (E) X nu este ales.
",C
"Patru studenți vor fi selectați pentru a face parte din echipa de șah a unei universități, și anume dintro listă de șapte studenți N, P, Q, R, S, V și X.
Selecția trebuie să respecte următoarele condiții
N și R nu sunt ambii aleși.
V și X nu sunt ambii aleși.
Dacă N este ales, atunci și X este ales.
Dacă P este ales, atunci și S este ales.
Dacă V este ales, atunci și R este ales.
","10. Dacă S este ales, care dintre următoarele afirmații NU poate fi adevărată?
","(A)	N și P sunt ambii aleși.
(B)	N și V sunt ambii aleși.
(C)	P și Q sunt ambii aleși.
(D)	P și V sunt ambii aleși.
(E)	Q și N sunt ambii aleși.
",B
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","11. Care dintre următoarele este o aranjare posibilă a lucrărilor, în ordine cronologică, și a materialelor din care sunt făcute?
","(A)	F  marmură, H  alabastru, L  marmură, G  alabastru, I  marmură.
(B)	F  marmură, L  marmură, G  marmură, H  alabastru, I alabastru.
(C)	G  marmură, L  marmură, H  marmură, F  alabastru, I  alabastru.
(D)	H  alabastru, F  alabastru, G  marmură, L  marmura, I  marmură.
(E) L  marmură, G  marmură, F  alabastru, H  alabastru, I  marmură.
",D
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","12. Care dintre următoarele afirmații trebuie să fie adevărată?
","(A)	G nu este prima statuie realizată.
(B)	H nu este a doua statuie realizată.
(C)	F este a doua statuie realizată.
(D)	F este a treia statuie realizată.
(E) L este a treia statuie realizată.
",A
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","13. Care dintre următoarele afirmații poate fi adevărată?
","(A)	F și L sunt realizate amândouă din alabastru.
(B)	G este a doua statuie realizată și H este prima statuie realizată.
(C)	H este prima statuie realizată și L este a treia statuie realizată.
(D)	H este a patra statuie realizată și I este din marmură.
(E)	L este a patra statuie realizată și F este din alabastru.
",E
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","14.	Dacă cea dea doua statuie este realizată din alabastru, care dintre următoarele afirmații poate fi adevărată?
","(A) F este a treia statuie realizata.
(B) G este a doua statuie realizata
(C) H este a patra statuie realizata
(D) G este din alabastru
(E) I este din alabastru
",A
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","15.	Care dintre următoarele afirmații trebuie să fie adevărată?
","(A)	F este din alabastru.
(B)	G este din marmură.
(C)	H este prima statuie realizată.
(D)	H este a doua statuie realizată.
(E) I este din alabastru.
",B
"Un sculptor trebuie să realizeze cinci statui  două statui din alabastru și trei statui din marmură  care vor fi expuse în cinci parcuri (F, G, H, I, L). Statuile vor purta numele parcurilor în care vor fi expuse. Sculptorul realizează lucrările pe rând, de la prima până la a cincea. Realizarea lucrărilor trebuie să respecte următoarele condiții
Cele două statui din alabastru, indiferent de parcul în care vor fi expuse, sunt realizate consecutiv.
A treia statuie realizată trebuie să fie din marmură.
Statuia I este ultima realizată.
Statuia H este din alabastru.
Între statuia L și statuia F se realizează exact o altă statuie, indiferent dacă statuia L este realizată înainte sau după statuia F.
","16. Dacă H este a patra statuie realizată, care dinfre următoarele afirmații trebuie să fie adevărată?
","(A)	F este din alabastru.
(B)	F este a treia statuie realizată.
(C)	G este a doua statuie realizată.
(D)	L este prima statuie realizată.
(E)	L este a treia statuie realizată.
",C
